threshold,accuracy,sensitivity,specificity,f1,roc_auc,sens_minus_spec
0.545,0.7335423197492164,0.644927536231884,0.8011049723756906,0.6768060836501901,0.8389783009047964,-0.15617743614380653
0.55,0.7335423197492164,0.644927536231884,0.8011049723756906,0.6768060836501901,0.8389783009047964,-0.15617743614380653
0.555,0.7335423197492164,0.6376811594202898,0.8066298342541437,0.6743295019157088,0.8389783009047964,-0.1689486748338539
0.56,0.7241379310344828,0.6159420289855072,0.8066298342541437,0.6589147286821705,0.8389783009047964,-0.1906878052686365
0.565,0.7210031347962382,0.6086956521739131,0.8066298342541437,0.6536964980544747,0.8389783009047964,-0.19793418208023061
0.57,0.7210031347962382,0.6086956521739131,0.8066298342541437,0.6536964980544747,0.8389783009047964,-0.19793418208023061
0.575,0.7178683385579937,0.6014492753623188,0.8066298342541437,0.6484375,0.8389783009047964,-0.20518055889182485
0.58,0.7241379310344828,0.5797101449275363,0.8342541436464088,0.6451612903225806,0.8389783009047964,-0.25454399871887257
0.585,0.7241379310344828,0.572463768115942,0.8397790055248618,0.6422764227642277,0.8389783009047964,-0.2673152374089198
0.59,0.7210031347962382,0.5652173913043478,0.8397790055248618,0.636734693877551,0.8389783009047964,-0.27456161422051406
0.595,0.7210031347962382,0.5579710144927537,0.8453038674033149,0.6337448559670782,0.8389783009047964,-0.2873328529105612
0.6,0.7178683385579937,0.5434782608695652,0.850828729281768,0.625,0.8389783009047964,-0.3073504684122028
0.605,0.7115987460815048,0.5217391304347826,0.856353591160221,0.6101694915254238,0.8389783009047964,-0.33461446072543843
0.61,0.7053291536050157,0.5072463768115942,0.856353591160221,0.5982905982905983,0.8389783009047964,-0.3491072143486268
0.615,0.7084639498432602,0.4927536231884058,0.8729281767955801,0.5938864628820961,0.8389783009047964,-0.3801745536071743
0.62,0.7115987460815048,0.4927536231884058,0.8784530386740331,0.5964912280701754,0.8389783009047964,-0.3856994154856273
0.625,0.6927899686520376,0.4492753623188406,0.8784530386740331,0.5585585585585585,0.8389783009047964,-0.42917767635519255
0.63,0.6865203761755486,0.427536231884058,0.8839779005524862,0.5412844036697247,0.8389783009047964,-0.45644166866842817
0.635,0.6990595611285266,0.427536231884058,0.9060773480662984,0.5514018691588785,0.8389783009047964,-0.4785411161822404
0.64,0.6959247648902821,0.42028985507246375,0.9060773480662984,0.5446009389671361,0.8389783009047964,-0.4857874929938346
0.645,0.6896551724137931,0.4057971014492754,0.9060773480662984,0.5308056872037915,0.8389783009047964,-0.500280246617023
0.65,0.6959247648902821,0.4057971014492754,0.9171270718232044,0.5358851674641149,0.8389783009047964,-0.511329970373929
0.655,0.6990595611285266,0.4057971014492754,0.9226519337016574,0.5384615384615384,0.8389783009047964,-0.516854832252382
0.66,0.7021943573667712,0.391304347826087,0.9392265193370166,0.5320197044334976,0.8389783009047964,-0.5479221715109297
0.665,0.6959247648902821,0.37681159420289856,0.9392265193370166,0.5174129353233831,0.8389783009047964,-0.5624149251341181
0.67,0.6927899686520376,0.3695652173913043,0.9392265193370166,0.51,0.8389783009047964,-0.5696613019457123
0.675,0.6896551724137931,0.36231884057971014,0.9392265193370166,0.5025125628140703,0.8389783009047964,-0.5769076787573064
0.68,0.6959247648902821,0.36231884057971014,0.9502762430939227,0.5076142131979695,0.8389783009047964,-0.5879574025142125
0.685,0.6896551724137931,0.34782608695652173,0.9502762430939227,0.49230769230769234,0.8389783009047964,-0.6024501561374009
0.69,0.6896551724137931,0.34782608695652173,0.9502762430939227,0.49230769230769234,0.8389783009047964,-0.6024501561374009
0.695,0.6927899686520376,0.34782608695652173,0.9558011049723757,0.4948453608247423,0.8389783009047964,-0.607975018015854
0.7,0.6959247648902821,0.34782608695652173,0.9613259668508287,0.49740932642487046,0.8389783009047964,-0.613499879894307
